# timestamp tx ty tz qx qy qz qw
1.546321741934060097e+09 2.766090709478447596e-01 -5.141075198105578004e-01 1.436115396995875537e+00 9.958533153533222215e-01 -7.586126594699341141e-02 3.899589394849020847e-03 5.006032192532870045e-02
1.546321742332453012e+09 4.341458406558286465e-02 -5.745395065752942898e-01 1.517824989786737300e+00 9.947222534330009136e-01 -8.267352731864185955e-02 -3.159105388493685298e-03 6.068563634840523635e-02
1.546321742732721090e+09 -1.619419298848511213e-01 -5.698911100093980719e-01 1.576560375924844104e+00 9.937902426912256226e-01 -8.803862250363124475e-02 -9.496409806238170770e-03 6.737931938042937552e-02
1.546321743033097982e+09 -2.814072394844271408e-01 -5.274418959180540156e-01 1.585481178888358711e+00 9.941058191358660423e-01 -8.574564005766432961e-02 -6.654865707053465515e-03 6.600771419865401890e-02
1.546321743432965994e+09 -4.075670329201368514e-01 -4.288757491924564125e-01 1.549357947404324642e+00 9.946423404158354353e-01 -8.780332355255757171e-02 -6.623078164094832465e-03 5.416018704608092926e-02
1.546321743832593918e+09 -5.002526467772513419e-01 -3.351161406265083520e-01 1.464708114053040910e+00 9.951890052231467942e-01 -9.203652410849759435e-02 -1.090603493986325861e-02 3.176760165451461559e-02
1.546321744133224964e+09 -5.358224284186950959e-01 -2.947823602668158682e-01 1.404215190036078198e+00 9.956053783014043868e-01 -9.109613876064076576e-02 -8.278233092298342005e-03 2.007224594033258855e-02
1.546321744532659054e+09 -5.483185209941781046e-01 -3.004079818950599057e-01 1.363209945265347223e+00 9.945341032422129190e-01 -9.890085572027880467e-02 5.948257939117318829e-03 3.294171297145243732e-02
1.546321744932389975e+09 -5.348604308468639656e-01 -3.455962144572715666e-01 1.339592951539201771e+00 9.926787672216808023e-01 -1.093238426717704215e-01 2.598284104243837184e-02 4.429508440093019028e-02
1.546321745332218885e+09 -5.107970603335180160e-01 -3.951362555049467429e-01 1.317587249829277107e+00 9.884116122875796773e-01 -1.336020266278964974e-01 4.958157851896186075e-02 5.229388346216212041e-02
1.546321745632508039e+09 -4.814311254742593693e-01 -4.222774480259054442e-01 1.294085083979403583e+00 9.848582258761947594e-01 -1.485254949416918435e-01 6.904663574481141597e-02 5.680681621639142170e-02
1.546321745932988882e+09 -4.373881071267127219e-01 -4.273059734286535072e-01 1.257647198697780411e+00 9.787892927448047509e-01 -1.706665736922976517e-01 1.040838203427309622e-01 4.484416768230215650e-02
1.546321746332648993e+09 -3.969108054200011226e-01 -4.450552765720904858e-01 1.240207347340263500e+00 9.638949792335398392e-01 -2.129571965812960266e-01 1.565600983313432393e-01 3.232084533376662627e-02
1.546321746633306980e+09 -4.059761022353852722e-01 -4.979203245113471010e-01 1.270859039907654919e+00 9.490298478288042849e-01 -2.482111703983121420e-01 1.819307536583375517e-01 6.807909879578226409e-02
1.546321747032430887e+09 -3.878173524977972519e-01 -5.181701450756971417e-01 1.299970496589904823e+00 9.273689297020136779e-01 -2.885062003307138911e-01 2.256862024504905084e-01 7.626780852726564031e-02
1.546321747332541943e+09 -3.398337246495330977e-01 -4.892286082397648839e-01 1.309004936102763805e+00 9.071290111693043334e-01 -3.186112456495381884e-01 2.693253771625550019e-01 5.538657289359383978e-02
